"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\ELIXIR\Process(calc)\% Processor Time","\\ELIXIR\Process(calc)\IO Data Bytes/sec","\\ELIXIR\Process(calc)\IO Read Operations/sec","\\ELIXIR\Process(calc)\IO Write Operations/sec","\\ELIXIR\Process(calc)\Thread Count","\\ELIXIR\Process(calc)\Virtual Bytes"
"11/07/2013 19:53:15.909","0.20000000000000001","0","0","0","1","29290496"
"11/07/2013 19:53:20.916","0.20000000000000001","0","0","0","1","29290496"
"11/07/2013 19:53:25.924","0","0","0","0","1","29290496"
"11/07/2013 19:53:30.931","0","0","0","0","1","29290496"
"11/07/2013 19:53:35.938","0","0","0","0","1","29290496"
"11/07/2013 19:53:40.945","0","0","0","0","1","29290496"
"11/07/2013 19:53:45.952","0","0","0","0","1","29290496"
"11/07/2013 19:53:50.960","0.40000000000000002","0","0","0","1","29290496"
"11/07/2013 19:53:55.967","0","0","0","0","1","29290496"
"11/07/2013 19:54:00.974","0","0","0","0","1","29290496"
"11/07/2013 19:54:05.981","0","0","0","0","1","29290496"
"11/07/2013 19:54:10.988","0.40000000000000002","0","0","0","2","29552640"
"11/07/2013 19:54:15.996","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 19:54:21.003","0","0","0","0","2","29552640"
"11/07/2013 19:54:26.010","0.40000000000000002","0","0","0","2","29552640"
"11/07/2013 19:54:31.017","0","0","0","0","2","29552640"
"11/07/2013 19:54:36.024","0.40000000000000002","0","0","0","2","29552640"
"11/07/2013 19:54:41.032","0","0","0","0","2","29552640"
"11/07/2013 19:54:46.039","0","0","0","0","2","29552640"
"11/07/2013 19:54:51.046","0","0","0","0","2","29552640"
"11/07/2013 19:54:56.053","0","0","0","0","2","29552640"
"11/07/2013 19:55:01.060","0.80000000000000004","0","0","0","2","29552640"
"11/07/2013 19:55:06.068","0.40000000000000002","0","0","0","2","29552640"
"11/07/2013 19:55:11.075","0.40000000000000002","0","0","0","2","29552640"
"11/07/2013 19:55:16.082","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 19:55:21.089","0.59999999999999998","0","0","0","2","29552640"
"11/07/2013 19:55:26.096","1","0","0","0","2","29552640"
"11/07/2013 19:55:31.104","0","0","0","0","2","29552640"
"11/07/2013 19:55:36.111","0.20000000000000001","0","0","0","2","29552640"
"11/07/2013 19:55:41.118","0.59999999999999998","0","0","0","2","29552640"
"11/07/2013 19:55:46.125","0","0","0","0","2","29552640"
"11/07/2013 19:55:51.132","0","0","0","0","2","29552640"
