"(PDH-CSV 4.0) (Eastern Standard Time)(300)","\\ELIXIR\Network Interface(AMD PCNET Family PCI Ethernet Adapter - Packet Scheduler Miniport)\Packets/sec","\\ELIXIR\Process(notepad)\% Processor Time","\\ELIXIR\Process(notepad)\IO Data Bytes/sec","\\ELIXIR\Process(notepad)\Virtual Bytes"
"11/12/2013 19:03:49.425","0.09197692556635155","2.305911404142829e-009","0.67433402678017007","29765632"
"11/12/2013 19:03:51.428","0","0","0","29765632"
"11/12/2013 19:03:53.431","0.4993551501150546","0","0","29765632"
"11/12/2013 19:03:55.434","0","0","0","29765632"
"11/12/2013 19:03:57.437","0","0","0","29765632"
"11/12/2013 19:03:59.440","0","0","0","29765632"
"11/12/2013 19:04:01.443","0","0","0","29765632"
"11/12/2013 19:04:03.446","0","0","0","29765632"
"11/12/2013 19:04:05.448","0","0","0","29765632"
"11/12/2013 19:04:07.451","0","0","0","29765632"
"11/12/2013 19:04:09.454","0","0","0","29765632"
"11/12/2013 19:04:11.457","0","0","0","29765632"
"11/12/2013 19:04:13.460","0","0","0","29765632"
"11/12/2013 19:04:15.463","0","0","0","29765632"
"11/12/2013 19:04:17.466","0","0","0","29765632"
"11/12/2013 19:04:19.469","0","0","0","29765632"
"11/12/2013 19:04:21.472","0","0","0","29765632"
"11/12/2013 19:04:23.474","0.49928166831487758","0","0","29765632"
"11/12/2013 19:04:25.477","0","0","0","29765632"
"11/12/2013 19:04:27.480","0","0","0","29765632"
"11/12/2013 19:04:29.483","0","0","0","29765632"
"11/12/2013 19:04:31.486","0","0","0","29765632"
"11/12/2013 19:04:33.489","0","0","0","29765632"
"11/12/2013 19:04:35.492","0","0","0","29765632"
"11/12/2013 19:04:37.495","0","0","0","29765632"
"11/12/2013 19:04:39.497","0","0","0","29765632"
"11/12/2013 19:04:41.500","0","0","0","29765632"
"11/12/2013 19:04:43.503","0","0","0","29765632"
"11/12/2013 19:04:45.506","0","0","0","29765632"
"11/12/2013 19:04:47.509","0","0","0","29765632"
"11/12/2013 19:04:49.512","0","0","0","29765632"
"11/12/2013 19:04:51.515","0","0","0","29765632"
"11/12/2013 19:04:53.518","0.49904722841618243","0","0","29765632"
"11/12/2013 19:04:55.520","0","0","0","29765632"
"11/12/2013 19:04:57.523","0","0","0","29765632"
"11/12/2013 19:04:59.526","0","0","0","29765632"
"11/12/2013 19:05:01.529","0","0","0","29765632"
"11/12/2013 19:05:03.532","0","0","0","29765632"
"11/12/2013 19:05:05.535","0","0","0","29765632"
"11/12/2013 19:05:07.538","0","0","0","29765632"
"11/12/2013 19:05:09.541","0","0","0","29765632"
"11/12/2013 19:05:11.544","0","0","0","29765632"
"11/12/2013 19:05:13.546","0","0","0","29765632"
"11/12/2013 19:05:15.549","0","0","0","29765632"
"11/12/2013 19:05:17.552","0","0","0","29765632"
"11/12/2013 19:05:19.555","0","0","0","29765632"
"11/12/2013 19:04:53.518","0.49904722841618243","0","0","29765632"
"11/12/2013 19:04:53.518","0.49904722841618243","0","0","29765632"
"11/12/2013 19:04:53.518","0.49904722841618243","0","0","29765632"
